farm_id,state,farm_size,contract_type,sale_type,chick_count,feed_consumed_kg,mortality_count,contract_duration,price_per_bird_inr,total_revenue,total_cost,estimated_profit,mortality_rate,feed_efficiency,revenue_per_bird,profit_per_bird,duration_efficiency,risk_label,farm_score,approval
F0001,Arunachal Pradesh,Small,Layer,Retail,4243,18692.8,209,59,210.52,871192.54,667895.96,176462.66,0.0493,4.4056,205.32,41.59,2990.89,Low,45.4,Approve
F0002,Sikkim,Large,Broiler,Wholesale,11706,45547.4,2322,167,191.03,2014419.3,1934880.93,99862.89,0.1984,3.8909,172.08,8.53,597.98,High,26.9,Reject
F0003,Arunachal Pradesh,Medium,Broiler,Wholesale,6324,24926.1,675,132,258.55,1547709.5,1012977.4,604638.17,0.1067,3.9415,244.74,95.61,4580.59,Low,60.5,Approve
F0004,Sikkim,Medium,Layer,Wholesale,9948,38547.3,891,36,209.58,1991481.39,1409107.8,730948.06,0.0896,3.8749,200.19,73.48,20304.11,Low,58.7,Approve
F0005,Karnataka,Small,Broiler,Wholesale,6291,19743.0,874,138,230.06,1346727.96,903235.2,496861.92,0.1389,3.1383,214.07,78.98,3600.45,Medium,68.3,Revise
F0006,Andhra Pradesh,Small,Broiler,Wholesale,3269,11478.0,532,49,219.21,658239.81,444442.62,179635.18,0.1627,3.5112,201.36,54.95,3666.02,Medium,51.3,Revise
F0007,Bihar,Small,Layer,Wholesale,3631,14802.1,1004,78,191.43,598914.09,557546.07,-8193.58,0.2765,4.0766,164.94,-2.26,-105.05,High,13.2,Reject
F0008,Himachal Pradesh,Large,Broiler,Retail,11715,34820.9,2523,125,184.44,1928015.99,1612143.13,299496.58,0.2154,2.9723,164.58,25.57,2395.97,High,47.7,Reject
F0009,Sikkim,Medium,Broiler,Retail,13838,45282.8,1965,88,230.06,2957543.13,1904609.42,1106423.59,0.142,3.2724,213.73,79.96,12573.0,Medium,65.4,Revise
F0010,Odisha,Medium,Broiler,Wholesale,12942,42317.0,621,119,199.76,2523267.69,1851869.2,790589.46,0.048,3.2697,194.97,61.09,6643.61,Low,73.9,Approve
F0011,Andhra Pradesh,Small,Broiler,Retail,6253,22100.8,683,55,199.49,1179261.04,860008.04,254660.74,0.1092,3.5344,188.59,40.73,4630.2,Low,54.8,Approve
F0012,Himachal Pradesh,Large,Layer,Export,15042,67187.0,3243,65,256.56,3443044.6,2404032.67,1144151.85,0.2156,4.4666,228.9,76.06,17602.34,High,29.5,Reject
F0013,Punjab,Large,Broiler,Wholesale,13923,40582.1,817,155,216.94,2931833.98,1972612.2,566703.7,0.0587,2.9148,210.57,40.7,3656.15,Low,74.6,Approve
F0014,Punjab,Small,Breeder,Export,6800,25036.2,1084,72,182.35,1141161.68,977836.4,121131.19,0.1594,3.6818,167.82,17.81,1682.38,Medium,39.0,Revise
F0015,Arunachal Pradesh,Small,Broiler,Export,3204,9948.2,321,128,207.19,630477.78,451969.2,205627.87,0.1002,3.1049,196.78,64.18,1606.47,Low,70.7,Approve
F0016,Maharashtra,Small,Broiler,Wholesale,3581,15936.0,221,62,226.76,786955.28,569112.58,170971.23,0.0617,4.4502,219.76,47.74,2757.6,Low,44.3,Approve
F0017,Bihar,Small,Broiler,Wholesale,4579,13703.2,568,129,206.29,885929.3,635432.13,201612.34,0.124,2.9926,193.48,44.03,1562.89,Medium,64.7,Revise
F0018,Sikkim,Medium,Broiler,Wholesale,7680,26773.4,1272,126,182.15,1282981.81,1145046.8,104229.6,0.1656,3.4861,167.05,13.57,827.22,Medium,41.1,Revise
F0019,Punjab,Medium,Layer,Retail,9672,39214.2,491,74,215.54,2031773.0,1473552.93,576200.47,0.0508,4.0544,210.07,59.57,7786.49,Low,57.0,Approve
F0020,Telangana,Small,Layer,Wholesale,4251,16994.4,769,117,188.47,728651.93,674847.6,13172.7,0.1809,3.9977,171.41,3.1,112.59,High,25.8,Reject
F0021,Telangana,Medium,Broiler,Wholesale,9438,33208.9,14,172,229.53,2164610.08,1491088.87,670027.14,0.0015,3.5186,229.35,70.99,3895.51,Low,77.7,Approve
F0022,Tamil Nadu,Small,Layer,Retail,4642,15732.2,325,124,229.57,1028323.47,680538.71,325563.8,0.07,3.3891,221.53,70.13,2625.51,Low,70.6,Approve
F0023,Tamil Nadu,Small,Broiler,Wholesale,5643,19614.7,653,46,183.02,973026.01,759820.6,269540.31,0.1157,3.4759,172.43,47.77,5859.57,Low,56.8,Approve
